Dosen,Kode Matakuliah,Matakuliah
"HAMIM,S.S., M.Pd.I",24000011B04,BAHASA ARAB PRAKTIS
"HILDA HALIDA,M.Psi",22040111D27,KODE ETIK PSIKOLOGI
"HILDA HALIDA,M.Psi",22040111D34,MODIFIKASI PERILAKU
"HILDA HALIDA,M.Psi",22040111D03,PSIKOLOGI FAAL
"HILDA HALIDA,M.Psi",22040111D22,TES INVENTORI
"IQBAL ALI WAFA,M.Psi",22040111D39,PSIKOLOGI LITERASI
"IQBAL ALI WAFA,M.Psi",22040111D10,STATISTIKA
"M. IKSAN, MA",22040111D08,PSIKOLOGI ABNORMAL
"M. IKSAN,MA",22040112F03,PENDIDIKAN ANAK BERBAKAT
"M. IKSAN,MA",22040112F04,PENDIDIKAN PRASEKOLAH
"MUCHAMAD ADAM BASORI, M.A, TESOL",22000011B06,BAHASA INGGRIS II
"MUH. ANWAR FU'ADY,S.Psi, M.A",22040111D11,METODOLOGI PENELITIAN KUANTITATIF
"MUH. ANWAR FU'ADY,S.Psi, M.A",22040111D34,MODIFIKASI PERILAKU
"MUH. ANWAR FU'ADY,S.Psi, M.A",22040112F05,PENANGANAN ANAK BERMASALAH
"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",24000011A02,KEWARGANEGARAAN
"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",22040111D25,PSIKOLOGI ISLAM
"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",22040111D36,PSIKOLOGI KOMUNITAS
"MUHAMMAD ARIF FURQON,M.Psi",22040111D05,TEORI PSIKOLOGI PERKEMBANGAN
"MUHAMMAD JAMALUDDIN,M.Si",22040111D34,MODIFIKASI PERILAKU
"MUHAMMAD JAMALUDDIN,M.Si",22040111D08,PSIKOLOGI ABNORMAL
"NURUL HIKMAH, M.Pd

",24000011B04,BAHASA ARAB PRAKTIS
"NURUL HIKMAH,M.Pd",24000011B03,BAHASA ARAB KOMUNIKATIF
"NURUL HIKMAH,M.Pd",24000011B04,BAHASA ARAB PRAKTIS
"NURUL SHOFIAH,M.Pd",24000011A02,KEWARGANEGARAAN
"Prof. Dr. ALI RIDHO, M.Si",22040111D11,METODOLOGI PENELITIAN KUANTITATIF
"Prof. Dr. ALI RIDHO, M.Si",22040111D10,STATISTIKA
"Prof. Dr. H. M. LUTFI MUSTOFA, S.Ag., M.Ag",24000011B09,TEOSOFI
"Prof. Dr. H. Mulyadi, M.Pd.I",22040111D13,PSIKOLOGI BELAJAR
"Prof. Dr. H. Mulyadi, M.Pd.I",22040112F01,PSIKOLOGI KESULITAN BELAJAR
"Prof. Dr. H. RAHMAT AZIZ, M.Si",22040111D11,METODOLOGI PENELITIAN KUANTITATIF
"Prof. Dr. H. RAHMAT AZIZ, M.Si",22040111D09,PSIKOLOGI EKSPERIMEN
"Prof. Dr. H. RAHMAT AZIZ, M.Si",22040112F02,PSIKOLOGI SEKOLAH
"Prof. Dr. H.ACHMAD KHUDORI SHOLEH,M.Ag",22040111D07,PSIKOLOGI AGAMA
"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",22040112F03,PENDIDIKAN ANAK BERBAKAT
"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",22040111D13,PSIKOLOGI BELAJAR
"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",22040112F01,PSIKOLOGI KESULITAN BELAJAR
"Prof. Dr. Hj. Siti Mahmudah, M.Si",22040112F16,PSIKOLOGI KOMUNIKASI
"Prof. Dr. Hj. Siti Mahmudah, M.Si",22040111D06,PSIKOLOGI SOSIAL
"RAHMATIKA SARI AMALIA,M.Psi",22040112F11,ANALISIS JABATAN
"RAHMATIKA SARI AMALIA,M.Psi",22040112F13,MANAJEMEN SUMBER DAYA MANUSIA
"RAHMATIKA SARI AMALIA,M.Psi",22040111D17,PSIKODIAGNOSTIK II OBSERVASI
"RIKA FU'ATUROSIDA, S.Psi, M.A",22040112F04,PENDIDIKAN PRASEKOLAH
"RIKA FU'ATUROSIDA, S.Psi, M.A",22040111D05,TEORI PSIKOLOGI PERKEMBANGAN
"ROCHMAWATI,S.S., M.Pd",22000011B06,BAHASA INGGRIS II
"SELLY CANDRA AYU, M.Si",22040111D09,PSIKOLOGI EKSPERIMEN
"SELLY CANDRA AYU, M.Si",22040111D05,TEORI PSIKOLOGI PERKEMBANGAN
"TAUFIQURRAHMAN, MA",22040111D08,PSIKOLOGI ABNORMAL
"TAUFIQURRAHMAN,MA",22040111D28,ANTROPOLOGI
"TAUFIQURRAHMAN,MA",22040111D02,FILSAFAT MANUSIA
"UMDATUL KHOIROT,M.Psi",22040111D13,PSIKOLOGI BELAJAR
"UMDATUL KHOIROT,M.Psi",22040111D09,PSIKOLOGI EKSPERIMEN
"UMDATUL KHOIROT,M.Psi",22040111D36,PSIKOLOGI KOMUNITAS
"UMDATUL KHOIROT,M.Psi",22040111D31,PSIKOLOGI KONSELING
"URIN LAILA SA'ADAH, S, Psi.M.Pd.",22040112F15,DINAMIKA KELOMPOK
"URIN LAILA SA'ADAH, S, Psi.M.Pd.",22040111D13,PSIKOLOGI BELAJAR
"URIN LAILA SA'ADAH, S, Psi.M.Pd.",22040111D31,PSIKOLOGI KONSELING
"URIN LAILA SA'ADAH, S, Psi.M.Pd.",22040112F02,PSIKOLOGI SEKOLAH
"YUSUF RATU AGUNG,M.A",22040111D36,PSIKOLOGI KOMUNITAS
"YUSUF RATU AGUNG,M.A",22040111D06,PSIKOLOGI SOSIAL
,22040111D35,PKL
