No,Ruang,kapasitas
1,ARI.R. 101,Besar
2,ARI.R. 102,Besar
3,ARI.R. 103,Besar
4,ARI.R. 104,Besar
5,ARI.R. 105,Besar
6,ARI.R. 201,Besar
7,ARI.R. 202,Besar
8,ARI.R. 203,Besar
9,ARI.R. 204,Besar
11,ARI.R. 205,Besar
,ARI.R. 206,Besar
,ARI.R. 207,Besar
,ARI.R. 208,Besar
,ARI.R. 209,Besar
,ARI.R. 210,Kecil
,ARI.R. 211,Kecil
,ARI.R. 212,Kecil
,ARI.R. 213,Kecil
,ARI.R. 214,Kecil
,,
,,
,,
,,
,,
,,
,,
,,
