Kode Matakuliah,Matakuliah,Dosen,Kelas,SKS,Hari,Ruang,Waktu
22040111D36,PSIKOLOGI KOMUNITAS,"UMDATUL KHOIROT,M.Psi",D,1,Selasa,ARI.Y.101,10.40 - 11.30
22040111D36,PSIKOLOGI KOMUNITAS,"Dr. ROFIQAH,M.Pd",E,1,Selasa,ARI.Y.104,11.30 - 12.20
22040111D36,PSIKOLOGI KOMUNITAS,"Dr. ROFIQAH,M.Pd",F,1,Jumat,ITC.I.6,06.30 - 07.20
22040111D36,PSIKOLOGI KOMUNITAS,"Dr. ROFIQAH,M.Pd",G,1,Selasa,ARI.Y.104,12.20 - 13.10
22040111D36,PSIKOLOGI KOMUNITAS,"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",H,1,Kamis,ARI.Y.102 ,07.20 - 08.10
22040111D36,PSIKOLOGI KOMUNITAS,"YUSUF RATU AGUNG,M.A",I,1,Rabu,ARI.Y.102 ,08.10 - 09.00
22040111D39,PSIKOLOGI LITERASI,"Dr. NOVIA SOLICHAH,M.Psi",A,1,Rabu,B.112,11.30 - 12.20
22040111D39,PSIKOLOGI LITERASI,"Dr. NOVIA SOLICHAH,M.Psi",B,1,Rabu,B.112,10.40 - 11.30
22040111D39,PSIKOLOGI LITERASI,"Dr. NOVIA SOLICHAH,M.Psi",C,1,Rabu,B.112,09.50 - 10.40
22040111D39,PSIKOLOGI LITERASI,"Dr. NOVIA SOLICHAH,M.Psi",D,1,Senin,B.112,10.40 - 11.30
22040111D39,PSIKOLOGI LITERASI,"Dr. NOVIA SOLICHAH,M.Psi",E,1,Senin,B.112,09.50 - 10.40
22040111D39,PSIKOLOGI LITERASI,"Dr. NOVIA SOLICHAH,M.Psi",F,1,Senin,B.112,09.00 - 09.50
22040111D39,PSIKOLOGI LITERASI,"IQBAL ALI WAFA,M.Psi",G,1,Kamis,B.113,06.30 - 07.20
22040111D39,PSIKOLOGI LITERASI,"IQBAL ALI WAFA,M.Psi",H,1,Kamis,B.113,09.00 - 09.50
22040111D39,PSIKOLOGI LITERASI,"IQBAL ALI WAFA,M.Psi",I,1,Kamis,B.113,08.10 - 09.00
22040112F01,PSIKOLOGI KESULITAN BELAJAR,"Prof. Dr. H. Mulyadi, M.Pd.I",X,2,Kamis,B.112,10.40 - 12.20
22040112F01,PSIKOLOGI KESULITAN BELAJAR,"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",Y,2,Selasa,B.213,06.30 - 08.10
22040112F02,PSIKOLOGI SEKOLAH,"URIN LAILA SA'ADAH, S, Psi.M.Pd.",X,2,Jumat,B.313,06.30 - 08.10
22040112F02,PSIKOLOGI SEKOLAH,"Prof. Dr. H. RAHMAT AZIZ, M.Si",Y,2,Senin,B.213,06.30 - 08.10
22040112F03,PENDIDIKAN ANAK BERBAKAT,"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",X,2,Rabu,B.212,08.10 - 09.50
22040112F03,PENDIDIKAN ANAK BERBAKAT,"M. IKSAN,MA",Y,2,Jumat,B.214,06.30 - 08.10
22040112F04,PENDIDIKAN PRASEKOLAH,"RIKA FU'ATUROSIDA, S.Psi, M.A",X,2,Jumat,B.214,09.50 - 11.30
22040112F04,PENDIDIKAN PRASEKOLAH,"M. IKSAN,MA",Y,2,Jumat,B.214,12.20 - 14.00
22040112F05,PENANGANAN ANAK BERMASALAH,"MUH. ANWAR FU'ADY,S.Psi, M.A",X,2,Selasa,B.312,06.30 - 08.10
22040112F06,ASSESMEN DALAM PSIKOLOGI KLINIS,"FUJI ASTUTIK,M.Psi",R,2,Selasa,B.112,10.40 - 12.20
22040112F06,ASSESMEN DALAM PSIKOLOGI KLINIS,"AININDITA AGHNIACAKTI,M.Psi",T,2,Rabu,B.112,08.10 - 09.50
22040112F07,KESEHATAN MENTAL,"Dr. IIN TRI RAHAYU, M.Si.Psi",Q,2,Rabu,B.113,08.10 - 09.50
22040112F07,KESEHATAN MENTAL,"Dr. TRISTIADI ARDI ARDANI, M.Si.Psi",R,2,Selasa,B.112,06.30 - 08.10
22040112F09,PENANGANAN KASUS KLINIS,"FUJI ASTUTIK,M.Psi",W,2,Kamis,B.113,09.50 - 11.30
22040112F09,PENANGANAN KASUS KLINIS,"FUJI ASTUTIK,M.Psi",Z,2,Selasa,B.112,12.20 - 14.00
22040112F10,ERGONOMI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",X,2,Rabu,B.214,06.30 - 08.10
22040112F10,ERGONOMI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",Y,2,Rabu,B.214,08.10 - 09.50
22040112F11,ANALISIS JABATAN,"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",P,2,Rabu,B.213,12.20 - 14.00
22040112F11,ANALISIS JABATAN,"Dr. RETNO MANGESTUTI, M.Si",R,2,Senin,B.212,09.50 - 11.30
22040112F11,ANALISIS JABATAN,"RAHMATIKA SARI AMALIA,M.Psi",T,2,Selasa,B.312,10.40 - 12.20
22040112F12,PSIKOLOGI KONSUMEN,"Dr. RETNO MANGESTUTI, M.Si",V,2,Jumat,B.212,06.30 - 08.10
22040112F12,PSIKOLOGI KONSUMEN,"Dr. RETNO MANGESTUTI, M.Si",X,2,Rabu,B.313,10.40 - 12.20
22040112F13,MANAJEMEN SUMBER DAYA MANUSIA,"RAHMATIKA SARI AMALIA,M.Psi",P,2,Selasa,B.312,12.20 - 14.00
22040112F13,MANAJEMEN SUMBER DAYA MANUSIA,"ABDUL HAMID CHOLILI,M.Psi",X,2,Kamis,B.313,06.30 - 08.10
22040112F13,MANAJEMEN SUMBER DAYA MANUSIA,"AGUS IQBAL HAWABI,M.Psi",Y,2,Senin,B.113,08.10 - 09.50
22040112F14,PERILAKU ORGANISASI,"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",O,2,Kamis,B.213,10.40 - 12.20
22040112F14,PERILAKU ORGANISASI,"AGUS IQBAL HAWABI,M.Psi",S,2,Selasa,B.313,10.40 - 12.20
22040112F15,DINAMIKA KELOMPOK,"URIN LAILA SA'ADAH, S, Psi.M.Pd.",V,2,Senin,B.214,06.30 - 08.10
22040112F15,DINAMIKA KELOMPOK,"Dr. MOHAMMAD MAHPUR,M.Si",Z,2,Selasa,B.212,06.30 - 08.10
22040112F16,PSIKOLOGI KOMUNIKASI,"Drs. H.YAHYA,M.A",N,2,Rabu,B.113,06.30 - 08.10
22040112F16,PSIKOLOGI KOMUNIKASI,"Prof. Dr. Hj. Siti Mahmudah, M.Si",S,2,Kamis,B.212,09.00 - 10.40
24000011A02,KEWARGANEGARAAN,"NURUL SHOFIAH,M.Pd",A,2,Selasa,RV Psikologi 1,12.20 - 14.00
24000011A02,KEWARGANEGARAAN,"NURUL SHOFIAH,M.Pd",B,2,Selasa,RV Psikologi 1,09.50 - 11.30
24000011A02,KEWARGANEGARAAN,"NURUL SHOFIAH,M.Pd",C,2,Senin,RV Psikologi 1,09.00 - 10.40
24000011A02,KEWARGANEGARAAN,"NURUL SHOFIAH,M.Pd",D,2,Rabu,RV Psikologi 1,12.20 - 14.00
24000011A02,KEWARGANEGARAAN,"NURUL SHOFIAH,M.Pd",E,2,Senin,RV Psikologi 2,12.20 - 14.00
24000011A02,KEWARGANEGARAAN,"NURUL SHOFIAH,M.Pd",F,2,Senin,RV Psikologi 1,10.40 - 12.20
24000011A02,KEWARGANEGARAAN,"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",G,2,Senin,RV Psikologi 3,09.00 - 10.40
24000011A02,KEWARGANEGARAAN,"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",H,2,Rabu,RV Psikologi 3,10.40 - 12.20
24000011A02,KEWARGANEGARAAN,"AHMAD ABI NAJIH, M.H.",I,2,Senin,RV Psikologi 2,09.00 - 10.40
24000011B03,BAHASA ARAB KOMUNIKATIF,"Dr. NUR ILA IFAWATI,M.Pd",A,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"HALIMATUS SA'DIYAH,M.Pd",B,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"HAMIM,S.S., M.Pd.I",C,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"NURUL HIKMAH,M.Pd",D,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"Dr. NUR ILA IFAWATI,M.Pd",E,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"HAMIM,S.S., M.Pd.I",F,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"HALIMATUS SA'DIYAH,M.Pd",G,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"NURUL HIKMAH,M.Pd",H,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"Dr. NUR ILA IFAWATI,M.Pd",I,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"Dr. NUR ILA IFAWATI,M.Pd",J,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"Dr. USFIYATUR RUSULY,M.Pd.I",K,2,,,
24000011B03,BAHASA ARAB KOMUNIKATIF,"HALIMATUS SA'DIYAH,M.Pd",L,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"Dr. NUR ILA IFAWATI,M.Pd",A,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"HALIMATUS SA'DIYAH,M.Pd",B,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"HAMIM,S.S., M.Pd.I",C,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"NURUL HIKMAH,M.Pd",D,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"HAMIM,S.S., M.Pd.I",E,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"NURUL HIKMAH, M.Pd

",F,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"NURUL HIKMAH,M.Pd",G,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"HALIMATUS SA'DIYAH,M.Pd",H,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"HAMIM,S.S., M.Pd.I",I,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"HALIMATUS SA'DIYAH,M.Pd",J,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"NURUL HIKMAH,M.Pd",K,2,,,
24000011B04,BAHASA ARAB PRAKTIS,"HAMIM,S.S., M.Pd.I",L,2,,,
24000011B09,TEOSOFI,"AHMAD ABI NAJIH, M.H.",A,2,Senin,ITC.I.2,06.30 - 08.10
24000011B09,TEOSOFI,"ERMITA ZAKIYAH,M.Th.I",B,2,Jumat,ARI.Y.101,09.50 - 11.30
24000011B09,TEOSOFI,"Prof. Dr. H. M. LUTFI MUSTOFA, S.Ag., M.Ag",C,2,Rabu,ARI.Y.101,06.30 - 08.10
24000011B09,TEOSOFI,"AHMAD ABI NAJIH, M.H.",D,2,Kamis,ITC.I.4,09.00 - 10.40
24000011B09,TEOSOFI,"AHMAD ABI NAJIH, M.H.",E,2,Selasa,ARI.Y.101,12.20 - 14.00
24000011B09,TEOSOFI,"Prof. Dr. H. M. LUTFI MUSTOFA, S.Ag., M.Ag",F,2,Kamis,ARI.Y.103,06.30 - 08.10
24000011B09,TEOSOFI,"Drs. ZAINUL ARIFIN,M.Ag",G,2,Rabu,ITC.I.2,06.30 - 08.10
24000011B09,TEOSOFI,"Drs. ZAINUL ARIFIN,M.Ag",H,2,Senin,ITC.I.4,06.30 - 08.10
24000011B09,TEOSOFI,"Drs. ZAINUL ARIFIN,M.Ag",I,2,Jumat,ARI.Y.101,06.30 - 08.10
