Kode Matakuliah,Matakuliah,Dosen,Kelas,SKS,Hari,Ruang,Waktu
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,"RIKA FU'ATUROSIDA, S.Psi, M.A",I,6,Rabu,ITC.I.5,11.30 - 14.00
22040111D05,TEORI PSIKOLOGI PERKEMBANGAN,"RIKA FU'ATUROSIDA, S.Psi, M.A",I,6,Senin,ITC.I.6,11.30 - 14.00
22040111D06,PSIKOLOGI SOSIAL,"Dr. MOHAMMAD MAHPUR,M.Si",A,6,Rabu,ARI.Y.101,11.30 - 14.00
22040111D06,PSIKOLOGI SOSIAL,"Dr. MOHAMMAD MAHPUR,M.Si",A,6,Senin,ARI.Y.104,11.30 - 14.00
22040111D06,PSIKOLOGI SOSIAL,"Prof. Dr. Hj. Siti Mahmudah, M.Si",B,6,Selasa,ITC.I.6,09.00 - 14.00
22040111D06,PSIKOLOGI SOSIAL,"Dr. FATHUL LUBABIN NUQUL, M.Si",C,6,Selasa,ARI.Y.103,09.00 - 11.30
22040111D06,PSIKOLOGI SOSIAL,"Dr. FATHUL LUBABIN NUQUL, M.Si",C,6,Kamis,ITC.I.6,06.30 - 09.00
22040111D06,PSIKOLOGI SOSIAL,"YUSUF RATU AGUNG,M.A",D,6,Senin,ARI.Y.103,09.00 - 11.30
22040111D06,PSIKOLOGI SOSIAL,"YUSUF RATU AGUNG,M.A",D,6,Rabu,ARI.Y.102 ,11.30 - 14.00
22040111D06,PSIKOLOGI SOSIAL,"Dr. FATHUL LUBABIN NUQUL, M.Si",E,6,Selasa,ARI.Y.103,06.30 - 09.00
22040111D06,PSIKOLOGI SOSIAL,"Dr. FATHUL LUBABIN NUQUL, M.Si",E,6,Kamis,ITC.I.6,09.50 - 12.20
22040111D06,PSIKOLOGI SOSIAL,"APRILIA MEGA ROSDIANA,M.Si",F,6,Rabu,ITC.I.6,11.30 - 14.00
22040111D06,PSIKOLOGI SOSIAL,"APRILIA MEGA ROSDIANA,M.Si",F,6,Senin,ARI.Y.102 ,09.00 - 11.30
22040111D06,PSIKOLOGI SOSIAL,"ALI SYAHIDIN MUBAROK,M.Si",G,6,Senin,ARI.Y.102 ,06.30 - 09.00
22040111D06,PSIKOLOGI SOSIAL,"ALI SYAHIDIN MUBAROK,M.Si",G,6,Rabu,ITC.I.6,09.00 - 11.30
22040111D06,PSIKOLOGI SOSIAL,"APRILIA MEGA ROSDIANA,M.Si",H,6,Senin,ARI.Y.102 ,11.30 - 14.00
22040111D06,PSIKOLOGI SOSIAL,"APRILIA MEGA ROSDIANA,M.Si",H,6,Rabu,ITC.I.6,06.30 - 09.00
22040111D06,PSIKOLOGI SOSIAL,"YUSUF RATU AGUNG,M.A",I,6,Rabu,ARI.Y.102 ,09.00 - 11.30
22040111D06,PSIKOLOGI SOSIAL,"YUSUF RATU AGUNG,M.A",I,6,Senin,ARI.Y.103,11.30 - 14.00
22040111D07,PSIKOLOGI AGAMA,"Drs. ZAINUL ARIFIN,M.Ag",A,2,Selasa,B.213,12.20 - 14.00
22040111D07,PSIKOLOGI AGAMA,"ERMITA ZAKIYAH,M.Th.I",B,2,Senin,B.214,08.10 - 09.50
22040111D07,PSIKOLOGI AGAMA,"ERMITA ZAKIYAH,M.Th.I",C,2,Kamis,B.214,12.20 - 14.00
22040111D07,PSIKOLOGI AGAMA,"Drs. ZAINUL ARIFIN,M.Ag",D,2,Selasa,B.213,09.50 - 11.30
22040111D07,PSIKOLOGI AGAMA,"Prof. Dr. H.ACHMAD KHUDORI SHOLEH,M.Ag",E,2,Jumat,B.213,08.10 - 09.50
22040111D07,PSIKOLOGI AGAMA,"Prof. Dr. H.ACHMAD KHUDORI SHOLEH,M.Ag",F,2,Jumat,B.213,06.30 - 08.10
22040111D07,PSIKOLOGI AGAMA,"AFA FAUZUL ADZIMS.Psi, M.Phil",G,2,Kamis,B.312,08.10 - 09.50
22040111D07,PSIKOLOGI AGAMA,"ERMITA ZAKIYAH,M.Th.I",H,2,Senin,B.214,09.50 - 11.30
22040111D07,PSIKOLOGI AGAMA,"ERMITA ZAKIYAH,M.Th.I",I,2,Kamis,B.214,06.30 - 08.10
22040111D08,PSIKOLOGI ABNORMAL,"MUHAMMAD JAMALUDDIN,M.Si",A,3,Kamis,ARI.Y.104,09.00 - 11.30
22040111D08,PSIKOLOGI ABNORMAL,"MUHAMMAD JAMALUDDIN,M.Si",B,3,Kamis,ARI.Y.104,11.30 - 14.00
22040111D08,PSIKOLOGI ABNORMAL,"Dr. TRISTIADI ARDI ARDANI, M.Si.Psi",C,3,Jumat,ITC.I.4,09.00 - 11.30
22040111D08,PSIKOLOGI ABNORMAL,"Dr. TRISTIADI ARDI ARDANI, M.Si.Psi",D,3,Jumat,ITC.I.4,06.30 - 09.00
22040111D08,PSIKOLOGI ABNORMAL,"Dr. YULIA SHOLICHATUN,M.Si",E,3,Jumat,ARI.Y.102 ,06.30 - 09.00
22040111D08,PSIKOLOGI ABNORMAL,"M. IKSAN, MA",F,3,Kamis,ARI.Y.103,09.00 - 11.30
22040111D08,PSIKOLOGI ABNORMAL,"Dr. YULIA SHOLICHATUN,M.Si",G,3,Jumat,ARI.Y.102 ,09.00 - 11.30
22040111D08,PSIKOLOGI ABNORMAL,"Dr. FINA HIDAYATI, MA",H,3,Kamis,ARI.Y.101,11.30 - 14.00
